ImgDim,BlockX,BlockY,Threads,Mode,Timing
1024,16,2,128,m,0.990368
1024,16,2,256,c,0.676512
1024,16,2,256,m,0.991808
1024,16,4,32,c,0.613056
1024,16,4,32,m,0.979392
1024,16,4,64,c,0.589184
1024,16,4,64,m,0.574816
1024,16,4,128,c,0.58592
1024,16,4,128,m,0.568128
1024,16,4,256,c,0.585408
1024,16,4,256,m,0.56672
1024,16,8,32,c,0.603008
1024,16,8,32,m,0.551104
1024,16,8,64,c,0.592736
1024,16,8,64,m,0.369344
1024,16,8,128,c,0.596128
1024,16,8,128,m,0.371456
1024,16,8,256,c,0.689632
1024,16,8,256,m,0.638848
1024,16,16,32,c,0.60352
1024,16,16,32,m,0.361376
1024,16,16,64,c,0.5976
1024,16,16,64,m,0.330592
1024,16,16,128,c,0.635712
1024,16,16,128,m,0.415808
1024,16,16,256,c,0.602016
1024,16,16,256,m,0.498592
2048,1,1,32,c,73.582115
2048,1,1,32,m,226.82547
2048,1,1,64,c,35.159039
2048,1,1,64,m,108.178719
2048,1,1,128,c,20.194817
2048,1,1,128,m,52.981247
2048,1,1,256,c,19.633663
2048,1,1,256,m,27.313215
2048,1,2,32,c,31.865536
2048,1,2,32,m,99.436829
2048,1,2,64,c,17.128576
2048,1,2,64,m,49.734207
2048,1,2,128,c,10.259072
2048,1,2,128,m,26.232191
2048,1,2,256,c,9.831456
2048,1,2,256,m,13.643488
2048,1,4,32,c,15.952832
2048,1,4,32,m,49.745632
2048,1,4,64,c,8.563872
2048,1,4,64,m,26.472063
2048,1,4,128,c,5.123104
2048,1,4,128,m,13.254656
2048,1,4,256,c,4.92848
2048,1,4,256,m,6.837664
2048,1,8,32,c,8.014112
2048,1,8,32,m,24.906719
2048,1,8,64,c,5.307712
2048,1,8,64,m,15.206848
2048,1,8,128,c,3.023232
2048,1,8,128,m,7.586944
2048,1,8,256,c,2.955296
2048,1,8,256,m,3.954976
2048,1,16,32,c,5.217984
2048,1,16,32,m,15.010656
2048,1,16,64,c,3.226176
2048,1,16,64,m,7.66512
2048,1,16,128,c,3.333856
2048,1,16,128,m,3.946816
